X,Y,Z
0.6231,0.5657,0.7439
0.6566,0.7541,0.8411
0.3581,0.4849,0.1931
0.7127,0.2829,0.5052
0.7419,0.1226,0.4526
0.5408,0.817,0.1579
0.6029,0.6689,0.896
0.4573,0.4383,0.2904
0.314,0.8646,0.2579
0.7126,0.2597,0.6007
0.3578,0.8669,0.3001
0.8244,0.6195,0.7259
0.569,1,0.3734
0.3689,0.2329,0.1144
0.4369,0.8414,0.5271
0.7535,0.8477,0.7932
0.4148,0.7506,0.3091
0.4835,0.8155,0.3296
0.7102,0.17,0.3889
0.5864,0.3248,0.1626
0.4673,0.9431,0.3453
0.7344,0.7036,0.8804
0.803,0.26,0.5368
0.5223,0.9893,0.4191
0.6027,0.67,0.8815
0.6222,0.3908,0.5739
0.7833,0.7192,0.8087
0.7302,0.2266,0.6746
0.7099,0.1899,0.5265
0.3222,0.2526,0.2776
0.7423,0.825,0.8042
0.5969,0.9172,0.3918
0.4669,0.7715,0.3008
0.4523,0.8604,0.5417
0.5358,0.44,0.0949
0.6182,0.8557,0.7238
0.6006,0.6691,0.7521
0.2558,0.9364,0.2468
0.4609,0.7583,0.4475
0.7504,0.3482,0.5789
0.7228,0.8877,0.7369
0.5314,0.372,0.2222
0.8194,0.7012,0.7666
0.687,0.4229,0.4895
0.8426,0.125,0.4805
0.545,0.4219,0.2913
0.3384,1,0.2692
0.2047,0.6867,0.2492
0.8182,0.3961,0.4373
0.521,0.8067,0.1846
0.5995,0.2517,0.3752
0.5265,0.49,0.2969
0.4605,0.3506,0.2093
0.5944,0.6236,0.9193
0.5276,0.8291,0.4298
0.6604,0.8545,0.4759
0.8054,0.6648,0.7781
0.7459,0.7876,0.922
0.6737,0.6139,0.7981
0.6274,0.9554,0.5863
0.3715,0.8463,0.3785
0.6163,0.2827,0.5895
0.7183,0.971,0.6778
0.5019,0.8198,0.9349
0.4036,0.2493,0.2234
0.2922,0.8942,0.4903
0.5508,0.7946,0.698
0.501,0.8833,0.3915
0.505,0.7426,0.77
0.3549,0.3295,0.1887
0.3804,0.9321,0.3337
0.8782,0.1341,0.6323
0.6472,0.8297,0.9002
0.1407,0.9235,0.2034
0.6181,0.7498,0.3413
0.7651,0.6853,1
0.3943,0.94,0.3039
0.2608,0.6043,0.3539
0.4657,0.3783,0.4309
0.3875,0.7852,0.3481
0.537,0.9175,0.6085
0.6535,0.7361,0.9295
0.3971,0.2538,0.2638
0.5263,1,0.5578
0.3192,0.7784,0.3744
0.748,0.6401,0.7267
0.6925,0.7775,0.6377
0.65,0.4286,0.1493
0.2975,0.8687,0.228
0.347,0.4009,0.2683
0.3512,0.7296,0.4051
0.7674,0.8257,0.7605
0.7357,0.1291,0.604
0.418,0.4963,0.3597
0.4038,0.3999,0.3682
0.9498,0.5979,0.8211
0.5287,0.5403,0.2518
0.5172,0.5063,0.3589
0.8254,0.8322,0.6464
0.4656,1,0.4731
0.4746,0.2213,0.6583
0.5088,0.3917,0.2067
0.594,0.8006,0.5137
0.1508,0.8537,0.2659
0.6338,0.8197,0.4574
0.3594,0.8089,0.413
0.4354,0.4004,0.2694
0.5963,0.8497,0.4548
0.6266,0.8449,0.288
0.1729,0.8764,0.3768
0.7813,0.2867,0.6467
0.3898,0.7097,0.416
0.3251,0.821,0.0686
0.4833,0.869,0.3656
0.7494,0.8322,0.7888
0.5405,0.824,0.3746
0.2596,0.9551,0.4099
0.6521,0.1737,0.4241
0.7808,0.6582,0.8299
0.2656,0.9533,0.2235
0.399,0.7175,0.4525
0.593,0.3063,0.417
0.3327,0.3752,0.115
0.7525,0.7749,0.6009
0.8144,0.7054,0.7876
0.4029,0.7816,0.2656
0.3373,0.8529,0.1243
0.887,0.3812,0.5292
0.6357,0.6371,0.9036
0.6618,1,0.4314
0.7187,0.3963,0.489
0.4106,0.7907,0.226
0.8121,0.3841,0.5309
0.5953,0.1656,0.4487
0.3286,0.9383,0.1915
0.8234,0.2411,0.5815
0.5914,0.8902,0.3506
0.6566,0.3337,0.4604
0.5845,0.4611,0.2144
0.6738,0.7299,0.8559
0.4257,0.7702,0.3003
0.5829,0.4308,0.2616
0.4441,0.8739,0.2531
0.5447,0.3626,0.2437
0.8055,0.4056,0.5535
0.44,0.9163,0.3214
0.6748,0.3342,0.507
0.4768,0.5022,0.2551
0.4899,0.478,0.7416
0.3956,0.8803,0.4648
0.6295,0.7979,0.5005
0.6724,0.3402,0.7912
0.715,0.3724,0.5472
0.593,0.8698,0.4322
0.4654,0.3707,0.183
0.4168,0.4014,0.3197
0.4281,0.8118,0.2246
0.7473,0.6522,0.6611
0.4948,0.3702,0.2993
0.355,0.7314,0.3141
0.4234,0.876,0.4299
0.6429,0.8325,0.2887
0.8321,0.198,0.7468
0.5091,0.3984,0.3833
0.4935,0.558,0.142
0.8023,0.9225,0.7608
0.6357,0.2046,0.5987
0.3973,0.7786,0.1271
0.6023,1,0.4954
0.8792,0.0537,0.3506
0.5093,0.2641,0.3971
0.5807,1,0.4846
0.3534,0.401,0.2908
0.5435,0.4438,0.4553
0.7075,0.6117,0.7448
0.388,0.8238,0.4587
0.4148,1,0.1518
0.5125,0.8385,0.4933
0.7346,0.7584,0.7534
0.5351,0.6475,0.8803
0.3853,0.7424,0.4768
0.4169,0.271,0.266
0.663,0.7845,0.7513
0.5633,1,0.4863
0.7127,0.7971,0.6245
0.513,1,0.6595
0.6039,0.3605,0.2829
0.633,0.8669,0.5029
0.4932,0.8337,0.2757
0.7836,0.3028,0.5641
0.7233,0.2713,0.629
0.3294,0.7457,0.3058
0.7367,0.4157,0.4617
0.4511,0.7774,0.2481
0.451,1,0.4985
0.5792,0.9749,0.3984
0.6553,0.3794,0.6299
0.3598,0.5705,0.3121
0.5727,0.4217,0.0774
0.8598,0.3347,0.5707
0.3636,1,0.0284
0.5859,0.7307,0.8952
0.5049,0.8255,0.2804
0.4503,0.8928,0.5221
0.5715,0.8252,0.2411
0.5549,0.7807,1
0.7181,0.4485,0.5865
0.4577,0.226,0.1308
0.9067,0.3946,0.665
0.3551,0.662,0.2525
0.4959,1,0.653
0.5678,0.6735,0.8247
0.5897,0.7689,0.9277
0.8605,0.3893,0.5944
0.5634,0.6718,0.7182
0.7128,0.6695,0.8143
0.9147,0.3531,0.5507
0.535,0.9128,0.7071
0.285,0.6111,0.2988
0.3534,0.4813,0.1106
0.6541,0.2133,0.7537
0.5082,0.7664,0.3472
0.8301,0.849,0.8352
0.4288,0.5401,0.3084
0.2529,0.7817,0.4046
0.8818,0.6835,0.8391
0.4613,0.9858,0.5236
0.7784,0.2006,0.5848
0.4626,0.6807,0.3644
0.6128,0.84,0.7781
0.3053,0.4552,0.1472
0.2534,0.8504,0.2022
0.1941,0.6757,0.2645
0.3843,0.269,0.3064
0.2703,0.85,0.1326
0.6954,0.1941,0.6883
0.2107,0.7592,0.1423
0.8719,0.1686,0.6132
0.707,0.3168,0.6171
0.6863,0.2189,0.5419
0.8071,0.5766,0.7764
0.2321,0.8935,0.4825
0.343,0.5248,0.2824
0.3738,0.963,0.3131
0.6984,0.7492,0.8181
0.7384,0.4502,0.4615
0.8169,0.6225,0.817
0.6662,0.6756,0.7155
0.5885,0.8672,0.775
0.4668,0.9008,0.4909
0.8392,0.4137,0.4796
0.3238,0.78,0.3026
0.266,0.7935,0.2379
0.5703,0.2659,0.2412
0.4356,0.941,0.4181
0.9594,0.0906,0.6622
0.6526,0.8111,0.7449
0.4463,0.6717,0.3773
0.3857,0.3153,0.3405
0.7097,0.4758,0.5246
0.7967,0.7764,0.7753
0.3735,0.9039,0.247
0.6336,0.8114,0.2959
0.7351,0.3042,0.7859
0.4003,0.5809,0.3632
0.6974,0.9813,0.3081
0.4832,0.815,0.3611
0.5421,0.1961,0.1064
0.5227,0.8713,0.2555
0.4243,0.5576,0
0.624,0.5788,0.7248
0.6064,0.2357,0.6258
0.6486,0.4555,0.3812
0.2444,0.8202,0.1743
0.8456,0.8403,0.7882
0.5536,0.993,0.4753
0.395,0.3593,0.2577
0.5438,0.7203,0.3513
0.6759,0.6182,0.6795
0.7525,0.7661,0.7123
0.5932,0.3541,0.3383
0.333,0.3796,0.2806
0.5927,0.6169,0.7762
0.4131,0.8145,0.2848
0.7817,0.7913,0.6246
0.4951,1,0.3835
0.5592,0.1622,0.6033
0.4795,0.5303,0.1527
0.6785,0.3207,0.5947
0.7493,0.6854,0.7781
0.7107,0.2343,0.5293
0.5694,0.8572,0.4763
0.5502,0.5897,0.7905
0.551,0.4092,0.67
0.6032,0.9589,0.3803
0.5695,0.3392,0.4818
0.6595,0.7316,0.8232
0.7496,0.7706,0.8021
0.7836,0.7084,0.6125
0.3808,0.6779,0.4965
0.4418,0.9253,0.1647
0.4422,0.7582,0.5347
0.3875,0.8999,0.1826
0.7598,0.2336,0.6869
0.6544,0.9582,0.9525
0.161,0.7598,0.1116
0.7257,0.7963,0.7648
0.663,0.6922,0.5982
0.7195,0.3979,0.5667
0.6163,0.9012,0.4673
0.7723,0.2537,0.5841
0.3229,0.6134,0.2764
0.4478,0.462,0.1805
0.3341,0.4136,0.2424
0.4572,1,0.3422
0.3587,0.8226,0.2921
0.8131,0.7419,0.623
0.7664,0.82,0.8119
0.4066,0.8453,0.1661
0.4854,1,0.6569
0.4904,0.9087,0.1495
0.4766,0.9832,0.3536
0.7338,0.4354,0.7694
0.3986,0.7683,0.2809
0.4266,0.887,0.1302
0.6142,0.8992,0.3263
0.701,0.7308,0.9635
0.5986,0.7526,0.4022
0.3542,1,0.5098
0.5979,0.9539,0.7356
0.4748,0.8759,0.3191
0.5741,0.2621,0.3165
0.6861,0.3833,0.7063
0.2269,0.7458,0.1327
0.4925,0.6979,0.2052
0.5853,0.8547,0.3628
0.5105,0.7837,0.3651
0.7605,0.5001,0.5844
0.4284,0.37,0.1085
0.5729,0.7578,0.8678
0.4111,0.8991,0.3721
0.6511,0.1858,0.5878
0.5141,0.453,0.2774
0.297,0.7542,0.2284
0.6625,0.9526,0.6996
0.5132,1,0.5372
0.3887,0.7673,0.0417
0.6132,0.1619,0.6085
0.4785,0.9146,0.5456
0.8109,0.592,0.7869
0.4939,0.9006,0.4518
0.7385,0.7531,0.9142
0.3393,0.9441,0.2112
0.6877,0.5769,0.8251
0.766,0.1807,0.786
0.4786,0.5309,0.2301
0.3649,0.6946,0.1367
0.2872,0.7934,0.2074
0.3502,0.4255,0.2882
0.3832,0.7722,0.6493
0.4575,0.7781,0.4327
0.4715,1,0.2795
0.5015,1,0.41
0.7301,0.7397,0.8121
0.3949,0.968,0.2079
0.3621,0.7328,0.2566
0.4699,0.2174,0.2161
0.7375,0.8751,0.6008
0.9378,0.2668,0.4169
0.7232,0.6363,0.7374
0.7728,0.4553,0.4202
0.6364,1,0.4516
0.7818,0.2343,0.6146
0.6959,0.3778,0.7865
0.5788,0.2659,0.6434
0.6087,0.2567,0.5108
0.2058,0.9706,0.1647
0.5139,0.816,0.3515
0.3403,0.4341,0.3047
0.4385,0.7328,0.3027
0.4208,0.3956,0.1253
0.7323,0.9754,0.5321
0.4519,0.3558,0.2888
0.3844,0.5447,0.2887
0.8574,0.2778,0.6068
0.5301,0.5838,0.3281
0.9075,0.2141,0.4554
0.634,0.8355,0.4134
