X,Y,Z
0.5927,0.5135,0.4007
0.4954,0.4254,0.5446
1,0.6723,0.5051
0.5431,0.6894,0.611
0.6132,0.8795,0.4497
0.6936,0.0158,0.9158
0.2113,0.3206,0.0203
0.2407,0.1282,0.4544
0.9025,0,0.9222
0.2672,0.2525,0.4481
0.1268,0.3841,0.1386
0.4458,0.4231,0.5604
0.369,0.7745,0.2192
0.2929,0.4706,0.5702
0.5113,0.4589,0.6106
0.438,0.368,0.754
0.9135,0.6412,0.4377
0.5646,0.4819,0.3016
0.6748,0.3533,0.7289
0.4453,0.7205,0.6081
0.2939,0.1338,0.3653
0.2683,0.7802,0.4434
1,0.6139,0.4322
0.5548,0.2732,0.2762
0.5494,0.371,0.7151
0.8683,0,0.84
0.4476,0,0.2397
0.329,0.4946,0.6157
0.6513,0.6866,0.557
0.4766,0.0868,0.504
0.5657,0.3098,0.3719
0.9708,0.7782,0.403
0.822,0,0.8647
0.4901,0.6268,0.4786
0.9031,0.8209,0.354
0.3624,0.779,0.5224
0.2131,0.2914,0.4604
0.9097,0.9386,0.3778
1,0.831,0.4953
0.4848,0.0781,0.4299
0.4433,0.18,0.6753
0.3561,0.2357,0.3466
0.4001,0.207,0.8554
0.2439,0.6481,0.6497
0.3015,0.5123,0.4639
0.3891,0.243,0.6685
0.9681,0.2663,0.8664
0.4208,0.3889,0.7351
0.958,0.6177,0.6296
0.5519,0.4189,0.7598
0.2793,0.2887,0.5439
0.231,0.5548,0.3665
0.3457,0.3881,0.7826
0.3756,0.3034,0.4962
0.3291,0.6053,0.2004
0.4943,0.8107,0.6288
0.8373,0.0841,0.854
0.8571,0.0819,0.8315
0.8267,0.5981,0.5613
0.2329,0.2428,0.1925
0.5221,0.5749,0.4158
0.9418,0.8134,0.2398
0.2795,0.484,0.7064
0.788,0.8315,0.2187
0.2818,0.6111,0.2824
0.8759,0.5944,0.3549
0.2075,0.6114,0.4133
0.762,0.4825,0.3144
0.4073,0.6509,0.4871
0.9089,0.1346,0.8794
0.4691,0.6868,0.4829
0.2126,0.7755,0.4746
0.989,0.7327,0.3786
0.8049,0.6852,0.329
0.9555,0.7697,0.4766
0.8051,0.5438,0.5204
0.4342,0.4208,0.7307
0.3185,0.7418,0.3427
0.8656,0.7266,0.4471
0.2785,0.1817,0.4333
0.7775,0.0027,0.8095
0.5095,0.172,0.3346
0.4522,0.1977,0.6009
0.8116,0.8805,0.4225
0.4822,0.8278,0.4299
0.7893,0.0393,0.8021
0.32,0.8838,0.2771
0.3904,0.641,0.586
0.5575,0.5925,0.6213
0.9099,0.6616,0.4928
0.2965,0.7081,0.3675
0.3643,0.6334,0.2744
0.3882,0.3229,0.7501
0.3254,0.2353,0.2978
0.2307,0.2183,0.3302
0.448,0.6161,0.7295
0.9572,0.7327,0.3142
0.3546,0.5077,0.749
0.3005,0.0927,0.3295
0.4488,0.3271,0.67
0.2473,0.1073,0.2935
0.3974,0.2729,0.5252
0.9737,0.7837,0.5667
0.7259,0.6947,0.4661
0.2911,0.6051,0.6872
0.3467,0.3879,0.2006
0.746,0.9113,0.3912
0.1656,0.0689,0.3613
0.7723,0.14,0.8443
0.3375,0.4918,0.3965
0.4024,0.2496,0.6243
0.3068,0.6611,0.5472
0.3527,0.4463,0.7403
0.1611,0.4035,0.1552
0.2505,0.1767,0.2777
0.274,0.2316,0.2047
0.4305,0.6466,0.5322
0.2718,0.7674,0.4762
0.3579,0.497,0.8027
0.6965,0.7076,0.3524
0.1645,0.3166,0.2151
0.8102,0.5721,0.4012
0.545,0.6985,0.3879
0.2894,0,0.2666
0.4652,0.3503,0.453
0.95,0.7386,0.4054
0.4043,0.0885,0.1594
0.2952,0.1618,0.3983
0.497,0.6208,0.2742
0.022,0.3402,0
0.4357,0.9058,0.2738
0.8686,0.2197,0.9099
0.3357,0.4992,0.4651
0.5589,0.6483,0.7694
0.1661,0.1319,0.4114
0.985,0.5697,0.5936
0.2791,0.163,0.3171
0.831,0.834,0.2847
0.1427,0.2209,0.127
0.4289,0.4909,0.3992
0.8535,0.3917,0.3905
0.2481,0.3723,0.7087
0.1515,0.7173,0.4232
0.5787,0.7299,0.6082
0.4,0.3328,0.7729
0.5027,0.6694,0.6178
0.3692,0.272,0.3399
0.3593,0.6316,0.6109
1,0.5262,0.4313
0.3576,0.2967,0.5451
0.198,0.5558,0.5379
0.486,0.5657,0.6773
0.1227,0.4574,0.1396
0.3052,0.5811,0.5004
0.5695,0.8009,0.508
0.3354,0.3937,0.296
